,course,Credits,Instructor,Department,course_name,description,vec_str
2084,BOT 101L,1,D R Drake,Botany (BOT),General Botany Lab ,(1 3-hr Lab) Lab observations and experiments illustrating basic principles of plant biology. Pre: 101 (or concurrent).,General Botany Lab  (1 3-hr Lab) Lab observations and experiments illustrating basic principles of plant biology. Pre: 101 (or concurrent). Botany (BOT)
2102,BOT 400,1,C W Morden,Botany (BOT),Senior Seminar ,Current research themes in botany presented in discussion format; reading current research papers. Oral presentations of primary research. Repeatable one time. BOT majors only. Senior standing and consent. A-F only. (Once a year),Senior Seminar  Current research themes in botany presented in discussion format; reading current research papers. Oral presentations of primary research. Repeatable one time. BOT majors only. Senior standing and consent. A-F only. (Once a year) Botany (BOT)
2108,BOT 420,4,K E Barton,Botany (BOT),Plant Form and Function ,"(3 Lec, 1 3-hr Lab) Lecture/laboratory to examine the anatomy, physiology, morphology, and functional ecology of plants. Labs will develop skills in microscopy, experimental techniques for studying plant physiology, and basic functional ecology. A-F only. Pre: 101/101L or BIOL 171/171L; BOT 201/201L; or consent. (Spring only)","Plant Form and Function  (3 Lec, 1 3-hr Lab) Lecture/laboratory to examine the anatomy, physiology, morphology, and functional ecology of plants. Labs will develop skills in microscopy, experimental techniques for studying plant physiology, and basic functional ecology. A-F only. Pre: 101/101L or BIOL 171/171L; BOT 201/201L; or consent. (Spring only) Botany (BOT)"
2114,BOT 444,3,T Ticktin,Botany (BOT),Ethnoecology and Conservation ,"Ecological implications of cultural uses of plants. Examines the biological basis for, and ecological effects of traditional and local resource management systems. Pre: BOT 305 or BIOL 265/265L or consent. (Crosslisted as SUST 445)","Ethnoecology and Conservation  Ecological implications of cultural uses of plants. Examines the biological basis for, and ecological effects of traditional and local resource management systems. Pre: BOT 305 or BIOL 265/265L or consent. (Crosslisted as SUST 445) Botany (BOT)"
2120,BOT 480,4,C Smith,Botany (BOT),Algal Diversity and Evolution ,"(3 Lec, 1 3-hr Lab) Principles of algal diversity, structure, and evolution. Identification of common Hawaiian algae. Pre: one of 101, BIOL 172, MICR 351, ZOOL 101; or consent.","Algal Diversity and Evolution  (3 Lec, 1 3-hr Lab) Principles of algal diversity, structure, and evolution. Identification of common Hawaiian algae. Pre: one of 101, BIOL 172, MICR 351, ZOOL 101; or consent. Botany (BOT)"
2150,BOT 610,1,C Daehler,Botany (BOT),Botanical Seminar ,Study and discussion of significant topics and problems in botany. Repeatable three times.,Botanical Seminar  Study and discussion of significant topics and problems in botany. Repeatable three times. Botany (BOT)
2156,BOT 612,2-4,K E Barton,Botany (BOT),Advanced Botanical Problems ,Investigation of any botanical problem; reading and laboratory work. Repeatable nine times. Pre: consent.,Advanced Botanical Problems  Investigation of any botanical problem; reading and laboratory work. Repeatable nine times. Pre: consent. Botany (BOT)
2162,BOT 661,3,C W Morden,Botany (BOT),Hawaiian Vascular Plants ,"(2 Lec, 1 3-hr Lab) Identification, systematics, evolution, and biogeography of native plants. Field trips. Pre: 461 or consent. (Cross-listed as SUST 661)","Hawaiian Vascular Plants  (2 Lec, 1 3-hr Lab) Identification, systematics, evolution, and biogeography of native plants. Field trips. Pre: 461 or consent. (Cross-listed as SUST 661) Botany (BOT)"
2168,BOT 662,3,A S Amend,Botany (BOT),High Throughput Sequencing Approaches to Ecology and Evolution ,"Fundamentals of experimental design, lab techniques and data analysis to conduct research using high throughput sequencing. Students will work in groups to conduct an amplicon sequencing study with ten samples. Repeatable one time. Pre: consent. (Alt. years: spring)","High Throughput Sequencing Approaches to Ecology and Evolution  Fundamentals of experimental design, lab techniques and data analysis to conduct research using high throughput sequencing. Students will work in groups to conduct an amplicon sequencing study with ten samples. Repeatable one time. Pre: consent. (Alt. years: spring) Botany (BOT)"
2174,BOT 670,2,R C Thomson,Botany (BOT),Scientific Teaching Tools to Promote Active Learning ,"Graduate level course to train students in the pedagogical tools to enhance active learning in STEM classes. Includes discussions of the primary literature, demonstrations and practice using scientific teaching techniques. BOT or ZOOL or MBIO majors only. Graduate students only. (Alt. years: spring) (Cross-listed as ZOOL 670)","Scientific Teaching Tools to Promote Active Learning  Graduate level course to train students in the pedagogical tools to enhance active learning in STEM classes. Includes discussions of the primary literature, demonstrations and practice using scientific teaching techniques. BOT or ZOOL or MBIO majors only. Graduate students only. (Alt. years: spring) (Cross-listed as ZOOL 670) Botany (BOT)"
2180,BUS 209,3,K E Garland,Business (BUS),Written Communication in Business ,"An interactive writing class stressing persuasive writing in the context of memos, letters, and business reports. A-F only. Pre: ACC 200 or ACC 210, and ENG 100. Students may not earn credit for both BUS 209 and ENG 209.","Written Communication in Business  An interactive writing class stressing persuasive writing in the context of memos, letters, and business reports. A-F only. Pre: ACC 200 or ACC 210, and ENG 100. Students may not earn credit for both BUS 209 and ENG 209. Business (BUS)"
2182,BUS 209,3,W P Lucas,Business (BUS),Written Communication in Business ,"An interactive writing class stressing persuasive writing in the context of memos, letters, and business reports. A-F only. Pre: ACC 200 or ACC 210, and ENG 100. Students may not earn credit for both BUS 209 and ENG 209.","Written Communication in Business  An interactive writing class stressing persuasive writing in the context of memos, letters, and business reports. A-F only. Pre: ACC 200 or ACC 210, and ENG 100. Students may not earn credit for both BUS 209 and ENG 209. Business (BUS)"
2190,BUS 209,3,B A Finlayson,Business (BUS),Written Communication in Business ,"An interactive writing class stressing persuasive writing in the context of memos, letters, and business reports. A-F only. Pre: ACC 200 or ACC 210, and ENG 100. Students may not earn credit for both BUS 209 and ENG 209.","Written Communication in Business  An interactive writing class stressing persuasive writing in the context of memos, letters, and business reports. A-F only. Pre: ACC 200 or ACC 210, and ENG 100. Students may not earn credit for both BUS 209 and ENG 209. Business (BUS)"
2204,BUS 250,3,N Patel,Business (BUS),Applied Math in Business ,"Provides problem-solving and quantitative skills essential in business. Reviews algebra, mathematics of finance, calculus in business applications, probability, introductory statistics, and hypothesis testing. Pre: two years high school algebra.","Applied Math in Business  Provides problem-solving and quantitative skills essential in business. Reviews algebra, mathematics of finance, calculus in business applications, probability, introductory statistics, and hypothesis testing. Pre: two years high school algebra. Business (BUS)"
2208,BUS 250,3,W P Lucas,Business (BUS),Applied Math in Business ,"Provides problem-solving and quantitative skills essential in business. Reviews algebra, mathematics of finance, calculus in business applications, probability, introductory statistics, and hypothesis testing. Pre: two years high school algebra.","Applied Math in Business  Provides problem-solving and quantitative skills essential in business. Reviews algebra, mathematics of finance, calculus in business applications, probability, introductory statistics, and hypothesis testing. Pre: two years high school algebra. Business (BUS)"
2212,BUS 250,3,K V Santaniello,Business (BUS),Applied Math in Business ,"Provides problem-solving and quantitative skills essential in business. Reviews algebra, mathematics of finance, calculus in business applications, probability, introductory statistics, and hypothesis testing. Pre: two years high school algebra.","Applied Math in Business  Provides problem-solving and quantitative skills essential in business. Reviews algebra, mathematics of finance, calculus in business applications, probability, introductory statistics, and hypothesis testing. Pre: two years high school algebra. Business (BUS)"
2228,BUS 310,3,Q Lam,Business (BUS),Statistical Analysis for Business Decisions ,"Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program.","Statistical Analysis for Business Decisions  Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program. Business (BUS)"
2230,BUS 310,3,TBA,Business (BUS),Statistical Analysis for Business Decisions ,"Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program.","Statistical Analysis for Business Decisions  Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program. Business (BUS)"
2232,BUS 310,3,C A Lopez,Business (BUS),Statistical Analysis for Business Decisions ,"Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program.","Statistical Analysis for Business Decisions  Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program. Business (BUS)"
2236,BUS 310,3,A L Rivera,Business (BUS),Statistical Analysis for Business Decisions ,"Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program.","Statistical Analysis for Business Decisions  Problem recognition and formulation; stress on cross-disciplinary complex problem solving and communication; computer intensive. Coverage of descriptive statistics, probability and hypothesis testing with emphasis on quality, productivity, and regression analysis. Must be taken in first semester of BBA program. Business (BUS)"
2256,BUS 311,3,H Chen,Business (BUS),Information Systems for Global Business Environment ,"Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent.","Information Systems for Global Business Environment  Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent. Business (BUS)"
2258,BUS 311,3,T Phuaphanthong,Business (BUS),Information Systems for Global Business Environment ,"Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent.","Information Systems for Global Business Environment  Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent. Business (BUS)"
2260,BUS 311,3,R Kazman,Business (BUS),Information Systems for Global Business Environment ,"Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent.","Information Systems for Global Business Environment  Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent. Business (BUS)"
2262,BUS 311,3,B Xiao,Business (BUS),Information Systems for Global Business Environment ,"Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent.","Information Systems for Global Business Environment  Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent. Business (BUS)"
2264,BUS 311,3,E Merc,Business (BUS),Information Systems for Global Business Environment ,"Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent.","Information Systems for Global Business Environment  Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent. Business (BUS)"
2270,BUS 311,3,TBA,Business (BUS),Information Systems for Global Business Environment ,"Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent.","Information Systems for Global Business Environment  Skills and strategies for using information resources applied to local and global business issues; advanced skills in computer-based analytical techniques and information management; impact of information technology on business operations and business strategies. Must be taken in first semester of BBA program. Pre: ICS 101, or LTEC 112 and 113, or equivalent, or consent. Business (BUS)"
2288,BUS 312,3,S Kim,Business (BUS),Principles of Marketing ,"Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304.","Principles of Marketing  Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304. Business (BUS)"
2290,BUS 312,3,Y Zheng,Business (BUS),Principles of Marketing ,"Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304.","Principles of Marketing  Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304. Business (BUS)"
2294,BUS 312,3,A P Palia,Business (BUS),Principles of Marketing ,"Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304.","Principles of Marketing  Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304. Business (BUS)"
2296,BUS 312,3,P D LaPorte,Business (BUS),Principles of Marketing ,"Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304.","Principles of Marketing  Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304. Business (BUS)"
2298,BUS 312,3,S Kitkuakul,Business (BUS),Principles of Marketing ,"Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304.","Principles of Marketing  Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304. Business (BUS)"
2302,BUS 312,3,C R Cannon,Business (BUS),Principles of Marketing ,"Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304.","Principles of Marketing  Concepts, problems, and opportunities in marketing within its competitive, political-legal, economic, social and global environments. Social responsibility and ethics. Marketing research. Consumer and businessto-business segmentation and positioning. Strategic marketing planning. Students may not earn credit for BUS 312 and TIM 304. Business (BUS)"
2320,BUS 313,3,Z Huang,Business (BUS),Economic and Financial Environment of Global Business ,"International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent.","Economic and Financial Environment of Global Business  International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent. Business (BUS)"
2322,BUS 313,3,A W Stauffer,Business (BUS),Economic and Financial Environment of Global Business ,"International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent.","Economic and Financial Environment of Global Business  International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent. Business (BUS)"
2324,BUS 313,3,J Chen,Business (BUS),Economic and Financial Environment of Global Business ,"International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent.","Economic and Financial Environment of Global Business  International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent. Business (BUS)"
2328,BUS 313,3,L B Schiff,Business (BUS),Economic and Financial Environment of Global Business ,"International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent.","Economic and Financial Environment of Global Business  International trade, financial flows, and direct investment. Public and private institutions including government policies and capital markets. Emphasis on Asia Pacific issues, with attention to the cultural differences among countries. Pre: ECON 130 and ECON 131 or consent. Business (BUS)"
2340,BUS 314,3,Z Wang,Business (BUS),Business Finance ,"Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent.","Business Finance  Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent. Business (BUS)"
2342,BUS 314,3,E L Mais,Business (BUS),Business Finance ,"Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent.","Business Finance  Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent. Business (BUS)"
2344,BUS 314,3,X Liang,Business (BUS),Business Finance ,"Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent.","Business Finance  Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent. Business (BUS)"
2346,BUS 314,3,A W Stauffer,Business (BUS),Business Finance ,"Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent.","Business Finance  Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent. Business (BUS)"
2348,BUS 314,3,G Rhee,Business (BUS),Business Finance ,"Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent.","Business Finance  Introduction to the theory and practice of financial management: analysis and decision making for asset management, capital budgeting, capital structure, and dividend policy. Prerequisite for all other finance courses. Pre: ACC 200 and ACC 210, ECON 130 and ECON 131; or consent. Business (BUS)"
2360,BUS 315,3,R R Nicholas,Business (BUS),Global Management and Organizational Behavior ,"Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100.","Global Management and Organizational Behavior  Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100. Business (BUS)"
2362,BUS 315,3,N K Lagmay,Business (BUS),Global Management and Organizational Behavior ,"Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100.","Global Management and Organizational Behavior  Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100. Business (BUS)"
2364,BUS 315,3,M Houshmand,Business (BUS),Global Management and Organizational Behavior ,"Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100.","Global Management and Organizational Behavior  Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100. Business (BUS)"
2366,BUS 315,3,L B Schiff,Business (BUS),Global Management and Organizational Behavior ,"Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100.","Global Management and Organizational Behavior  Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100. Business (BUS)"
2368,BUS 315,3,R J Moore,Business (BUS),Global Management and Organizational Behavior ,"Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100.","Global Management and Organizational Behavior  Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100. Business (BUS)"
2370,BUS 315,3,T A Kreps,Business (BUS),Global Management and Organizational Behavior ,"Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100.","Global Management and Organizational Behavior  Analysis of theories and concepts underlying domestic and global organizational management, including behavioral and personnel issues. Emphasis on leadership, team-work, cultural differences in the Asia Pacific region. Prerequisite to all other advanced management courses. Students may not receive credit for BUS 315 and TIM 303. Pre: PSY 100 or SOC 100. Business (BUS)"
2388,BUS 345,3,C A Lopez,Business (BUS),Strategic Management ,"Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing.","Strategic Management  Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing. Business (BUS)"
2390,BUS 345,3,T Chen,Business (BUS),Strategic Management ,"Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing.","Strategic Management  Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing. Business (BUS)"
2396,BUS 345,3,R Doktor,Business (BUS),Strategic Management ,"Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing.","Strategic Management  Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing. Business (BUS)"
2400,BUS 345,3,D Yoon,Business (BUS),Strategic Management ,"Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing.","Strategic Management  Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing. Business (BUS)"
2404,BUS 345,3,S T Dunn,Business (BUS),Strategic Management ,"Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing.","Strategic Management  Applications of strategy to domestic and global business problems using an interdisciplinary approach. Emphasis on AsiaPacific business, assessment of risk, integration of all business core disciplines. Extensive writing expected. Pre: all core courses and graduating senior standing. Business (BUS)"
2424,BUS 623,3,K C Holden,Business (BUS),Marketing Management ,Concepts and issues in marketing within the global environment of business. Ethical dimensions and social responsibilities; market research; consumer segmentation and positioning. Strategic marketing planning. MBA students only or advisor approval. A-F only.,Marketing Management  Concepts and issues in marketing within the global environment of business. Ethical dimensions and social responsibilities; market research; consumer segmentation and positioning. Strategic marketing planning. MBA students only or advisor approval. A-F only. Business (BUS)
2428,BUS 625,3,T Bui,Business (BUS),Digital Transformation with Information Systems and Technology ,"Practices, techniques, and tools for managing digital innovation in markets, firms, and enterprise systems through information technologies and applications. Repeatable unlimited times. MBA students only or advisor approval. A-F only. (Pre: 619 and 620 or consent. Spring only)","Digital Transformation with Information Systems and Technology  Practices, techniques, and tools for managing digital innovation in markets, firms, and enterprise systems through information technologies and applications. Repeatable unlimited times. MBA students only or advisor approval. A-F only. (Pre: 619 and 620 or consent. Spring only) Business (BUS)"
2432,BUS 629,3,E L Mais,Business (BUS),Managerial Finance ,"Financial management theories and tools for business professionals; asset management; capital budgeting; capital structure and dividend policies. MBA students only or advisor approval. A-F only. Pre: 619, 620, and 624; or consent.","Managerial Finance  Financial management theories and tools for business professionals; asset management; capital budgeting; capital structure and dividend policies. MBA students only or advisor approval. A-F only. Pre: 619, 620, and 624; or consent. Business (BUS)"
2436,BUS 632,3,K Ito,Business (BUS),Business Policy and Strategy ,"Integration of learning through analysis of comprehensive business problems, resolution of policy issues, and the study of competitive strategies in the international setting. Pre: MBA core courses completed or taken concurrently; or consent. MBA students only or advisor approval.","Business Policy and Strategy  Integration of learning through analysis of comprehensive business problems, resolution of policy issues, and the study of competitive strategies in the international setting. Pre: MBA core courses completed or taken concurrently; or consent. MBA students only or advisor approval. Business (BUS)"
2440,BUS 695,1-3,R W Varley,Business (BUS),Internships ,On-the-job experience in the business community. Project paper and meetings with faculty advisor required. A-F only. Repeatable one time. Pre: consent.,Internships  On-the-job experience in the business community. Project paper and meetings with faculty advisor required. A-F only. Repeatable one time. Pre: consent. Business (BUS)
